"country","partner","partner_original"
"NG","ASADEP","Asadep"
"NG","Cato Foods","Cato foods"
"NG","Cato Foods","Cato Foods"
"NG","CAVAII","CAVA II/CIA_GED"
"NG","CAVAII","CAVA2/CIA-GED"
"NG","CAVAII","CAVAII"
"NG","CAVAII","CAVAII/CIA_GED"
"NG","CAVAII","Cia-ged"
"NG","CAVAII","CIA-GED"
"NG","CAVAII","CIA_GED"
"NG","CAVAII","CAVA II"
"NG","Cedro Royal","Cedro Royal"
"NG","Cedro Royal","Cedro Royal Multiventures"
"NG","Community Links","Community links"
"NG","Delta Modern Farmers Multi-cooperative Society","Delta Modern Farmers Multi-cooperative society"
"NG","Delta Modern Farmers Multi-cooperative Society","Delta Modern Farmers Multi-cooperative Society"
"NG","Denkosin Agric Concept","Denkosin agric concept"
"NG","Denkosin Agric Concept","DENKOSIN AGRIC CONCEPT"
"NG","Ebi MCS","Ebi MCS"
"NG","FUAM","FUAM"
"NG","FUAM","UAM"
"NG","FUNAAB","FUNAAB"
"NG","Gemehaam Bees Limited","Gemehaam Bees Limited"
"NG","GIZ","GIZ"
"NG","IEVPS","Initiative for the Empowerment of Vulnerable Persons in the Society (IEVPS)"
"NG","IITA","IITA"
"NG","Imo ADP","Imo ADP"
"NG","Jairus Ogbu","Jairus ogbu"
"NG","Jairus Ogbu","Jairus OGBU"
"NG","Jairus Ogbu","Ogbu Jairus"
"NG","JDPM","JDPC Ibadan"
"NG","JDPM","JDPC,Ibadan"
"NG","JDPM","JDPCIbadan"
"NG","JDPM","JDPI Catholic Diocese of Ekiti"
"NG","JDPM","JDPM"
"NG","JDPM","Justice, Development and Peace Makers' Centre"
"NG","JDPM","Justice, Development and Peace Makers Center (JDPMC), Osogbo"
"NG","JDPM","Justice, Development and Peace Makers Center, Osogbo"
"NG","JDPM","SUFAN(JDPM)Kwara"
"NG","KOLPING","KOLPING"
"NG","Multifacet Dynamic Global Ventures Delta","Multifacet Dynamic Global Ventures Delta"
"NG","NAERLS","NAERLS"
"NG","National Cassava Growers Association, Delta State","National Cassava Growers Association, Delta State"
"NG","NFHL & ADP","NFHL & ADP"
"NG","Notore","Notore"
"NG","NRCRI","NRCRI"
"NG","OAU","OAU"
